"temperature","country","trait","sample_size","parameter","species","unit","sourcepaper","remarks","included"
"24","Corsica","36.7057483447899",502.82999115009,"eggs",,,,,
"32","Corsica","6",6,"eggs",,,,,
"12","Senegal","0.998274870615296",220.662638432518,"eggs",,,,,
"12","Zimbabwe","0.711930084920439",110.131739294356,"eggs",,,,,
"28","Corsica","34.7424315697843",249.066256245201,"eggs",,,,,
"18","Corsica","26.7670841731452",500.055996864351,"eggs",,,,,
"28","Senegal","39.3233346218271",196.989847454126,"eggs",,,,,
"18","Senegal","30.9190884517389",556.12588502964,"eggs",,,,,
"24","Zimbabwe","23.1027850630698",268.445525200179,"eggs",,,,,
"28","Zimbabwe","20.2917062737643",205.134102479329,"eggs",,,,,
"24","Senegal","38.0712745431847",265.495762678051,"eggs",,,,,
"18","Zimbabwe","19.8028956057912",396.837498228179,"eggs",,,,,
"32","Senegal","8.5",2.82842712474619,"eggs",,,,,
"32","Zimbabwe","6",1,"eggs",,,,,
"12","Corsica","0.33589850249584",98.0612053770501,"eggs",,,,,
"4","Senegal","0",81,"lifespan",,,,,
"4","Zimbabwe","0",54,"lifespan",,,,,
"4","Corsica","0.402429604381845",60,"lifespan",,,,,
"8","Senegal","75.3834544466164",118,"lifespan",,,,,
"8","Zimbabwe","24.4533286862083",78,"lifespan",,,,,
"8","Corsica","148.640131159266",89,"lifespan",,,,,
"12","Senegal","134.278384186369",101,"lifespan",,,,,
"12","Zimbabwe","103.286356438841",71,"lifespan",,,,,
"12","Corsica","78.9470648237714",80,"lifespan",,,,,
"18","Senegal","82.0510334188516",102,"lifespan",,,,,
"18","Zimbabwe","244.933318814653",72,"lifespan",,,,,
"18","Corsica","150.891770171537",79,"lifespan",,,,,
"24","Senegal","15.6817020511739",105,"lifespan",,,,,
"24","Zimbabwe","48.6648329549509",72,"lifespan",,,,,
"24","Corsica","47.2548611319856",78,"lifespan",,,,,
"28","Senegal","10.1032367817992",101,"lifespan",,,,,
"28","Zimbabwe","14.8232600128473",72,"lifespan",,,,,
"28","Corsica","13.0401050068674",79,"lifespan",,,,,
"32","Senegal","1.17048536603322",127,"lifespan",,,,,
"32","Zimbabwe","0.905684541627891",91,"lifespan",,,,,
"32","Corsica","1.0684889806628",104,"lifespan",,,,,
"36","Senegal","0",73,"lifespan",,,,,
"36","Zimbabwe","0",50,"lifespan",,,,,
"36","Corsica","0",54,"lifespan",,,,,
"10","4","7.83046075588487",10,"lifespan",,,,,
"15","4","-Inf",10,"lifespan",,,,,
"25","4","-Inf",10,"lifespan",,,,,
"30","4","37.9648863241196",10,"lifespan",,,,,
"10","5","55.6169519485153",20,"lifespan",,,,,
"18","5","31.3218430235395",20,"lifespan",,,,,
"26","5","44.8587720329141",20,"lifespan",,,,,
"28","5","31.3218430235395",20,"lifespan",,,,,
"33","5","0",20,"lifespan",,,,,
"26","6","395.986531620073",50,"lifespan",,,,,
"26","7","29.1506046848165",50,"lifespan",,,,,
"29",,"4.428571429",,"maturation_time","B.truncatus","weeks","Klummpp_et_al.,_1985","",""
"22.5",,"7",,"maturation_time","B.truncatus","weeks","Najarian_1961","20-25",""
"23.5",,"11",,"maturation_time","B.truncatus","weeks","Watson_1985","22-25, 2-3 months",""
"10",,"20",,"maturation_time","B.truncatus","weeks","El-Emam_and_Madsen_1982","No egg laying after 16 weeks",""
"18",,"8",,"maturation_time","B.truncatus","weeks","El-Emam_and_Madsen_1982","Including 1 week before experiment start",""
"26",,"6",,"maturation_time","B.truncatus","weeks","El-Emam_and_Madsen_1982","Including 1 week before experiment start",""
"28",,"4",,"maturation_time","B.truncatus","weeks","El-Emam_and_Madsen_1982","Including 1 week before experiment start",""
"26",,"5.92142857142857",,"maturation_time","B.truncatus","weeks","Diakite_2023_n","",""
"26",,"5.98428571428571",,"maturation_time","B.truncatus","weeks","Diakite_2023_s","",""
"23",,"0.765",,"hatching_success","B.truncatus","","Leopard_and_Isseroff_2009","",""
"30",,"0.275",,"hatching_success","B.tropicus","","Prinsloo_and_van_Eeden_1969","",""
"27",,"0.723",,"hatching_success","B.tropicus","","Prinsloo_and_van_Eeden_1969","",""
"25",,"0.893",,"hatching_success","B.tropicus","","Prinsloo_and_van_Eeden_1969","",""
"21",,"0.743",,"hatching_success","B.tropicus","","Prinsloo_and_van_Eeden_1969","",""
"18",,"0.844",,"hatching_success","B.tropicus","","Prinsloo_and_van_Eeden_1969","",""
