temperature,individual,week,country,egg_masses,size,weeks_survived,dead,population_id,experiment_id,snail_id
8,65,2,Corsica,0,5,14,0,1,1,1
8,65,3,Corsica,0,5,14,0,1,1,1
8,65,4,Corsica,0,5,14,0,1,1,1
8,65,5,Corsica,0,5,14,0,1,1,1
8,65,6,Corsica,0,5.1,14,0,1,1,1
8,65,7,Corsica,0,5.1,14,0,1,1,1
8,65,8,Corsica,0,5.1,14,0,1,1,1
8,65,9,Corsica,0,5.2,14,0,1,1,1
8,65,10,Corsica,0,5.1,14,0,1,1,1
8,65,11,Corsica,0,5.1,14,0,1,1,1
8,65,12,Corsica,0,5.1,14,0,1,1,1
8,65,13,Corsica,0,5.1,14,0,1,1,1
8,65,14,Corsica,0,5.1,14,0,1,1,1
8,66,2,Corsica,0,4.8,14,0,1,1,2
8,66,3,Corsica,0,4.9,14,0,1,1,2
8,66,4,Corsica,0,4.7,14,0,1,1,2
8,66,5,Corsica,0,5.1,14,0,1,1,2
8,66,6,Corsica,0,5.2,14,0,1,1,2
8,66,7,Corsica,0,5.2,14,0,1,1,2
8,66,8,Corsica,0,5.2,14,0,1,1,2
8,66,9,Corsica,0,5.1,14,0,1,1,2
8,66,10,Corsica,0,5.2,14,0,1,1,2
8,66,11,Corsica,0,5.2,14,0,1,1,2
8,66,12,Corsica,0,5.1,14,0,1,1,2
8,66,13,Corsica,0,5.1,14,0,1,1,2
8,66,14,Corsica,0,5.1,14,0,1,1,2
8,69,2,Corsica,0,5.2,14,0,1,1,3
8,69,3,Corsica,0,5.2,14,0,1,1,3
8,69,4,Corsica,0,5,14,0,1,1,3
8,69,5,Corsica,0,5.3,14,0,1,1,3
8,69,6,Corsica,0,5.5,14,0,1,1,3
8,69,7,Corsica,0,5.5,14,0,1,1,3
8,69,8,Corsica,0,5.3,14,0,1,1,3
8,69,9,Corsica,0,5.3,14,0,1,1,3
8,69,10,Corsica,0,5.3,14,0,1,1,3
8,69,11,Corsica,0,5.3,14,0,1,1,3
8,69,12,Corsica,0,5.3,14,0,1,1,3
8,69,13,Corsica,0,5.3,14,0,1,1,3
8,69,14,Corsica,0,5.4,14,0,1,1,3
8,71,2,Corsica,0,5.3,14,0,1,1,4
8,71,3,Corsica,0,5.3,14,0,1,1,4
8,71,4,Corsica,0,5,14,0,1,1,4
8,71,5,Corsica,0,5.3,14,0,1,1,4
8,71,6,Corsica,0,5.4,14,0,1,1,4
8,71,7,Corsica,0,5.5,14,0,1,1,4
8,71,8,Corsica,0,5.5,14,0,1,1,4
8,71,9,Corsica,0,5.5,14,0,1,1,4
8,71,10,Corsica,0,5.6,14,0,1,1,4
8,71,11,Corsica,0,5.5,14,0,1,1,4
8,71,12,Corsica,0,5.6,14,0,1,1,4
8,71,13,Corsica,0,5.5,14,0,1,1,4
8,71,14,Corsica,0,5.4,14,0,1,1,4
8,317,5,Corsica,0,4.7,10,1,1,1,5
8,317,6,Corsica,0,4.6,10,1,1,1,5
8,318,2,Corsica,0,5,14,0,1,1,6
8,318,3,Corsica,0,4.8,14,0,1,1,6
8,318,5,Corsica,0,4.8,14,0,1,1,6
8,318,6,Corsica,0,4.9,14,0,1,1,6
8,318,7,Corsica,0,4.8,14,0,1,1,6
8,318,8,Corsica,0,4.8,14,0,1,1,6
8,318,9,Corsica,0,4.9,14,0,1,1,6
8,318,10,Corsica,0,4.8,14,0,1,1,6
8,318,11,Corsica,0,4.9,14,0,1,1,6
8,318,12,Corsica,0,4.8,14,0,1,1,6
8,318,13,Corsica,0,4.8,14,0,1,1,6
8,318,14,Corsica,0,4.9,14,0,1,1,6
8,319,2,Corsica,0,4.6,14,0,1,1,7
8,319,3,Corsica,0,4.6,14,0,1,1,7
8,319,6,Corsica,0,4.7,14,0,1,1,7
8,319,7,Corsica,0,4.7,14,0,1,1,7
8,319,8,Corsica,0,4.7,14,0,1,1,7
8,319,9,Corsica,0,4.6,14,0,1,1,7
8,319,10,Corsica,0,4.7,14,0,1,1,7
8,319,11,Corsica,0,4.7,14,0,1,1,7
8,319,12,Corsica,0,4.7,14,0,1,1,7
8,319,13,Corsica,0,4.7,14,0,1,1,7
8,319,14,Corsica,0,4.7,14,0,1,1,7
8,321,2,Corsica,0,5.4,14,0,1,1,8
8,321,3,Corsica,0,5.7,14,0,1,1,8
8,321,4,Corsica,0,5.7,14,0,1,1,8
8,321,5,Corsica,0,5.7,14,0,1,1,8
8,321,6,Corsica,0,5.7,14,0,1,1,8
8,321,7,Corsica,0,5.6,14,0,1,1,8
8,321,8,Corsica,0,5.6,14,0,1,1,8
8,321,9,Corsica,0,5.7,14,0,1,1,8
8,321,10,Corsica,0,5.6,14,0,1,1,8
8,321,11,Corsica,0,5.6,14,0,1,1,8
8,321,12,Corsica,0,5.7,14,0,1,1,8
8,321,13,Corsica,0,5.7,14,0,1,1,8
8,321,14,Corsica,0,5.7,14,0,1,1,8
8,322,2,Corsica,0,5.8,14,0,1,1,9
8,322,3,Corsica,0,5.8,14,0,1,1,9
8,322,4,Corsica,0,5.8,14,0,1,1,9
8,322,5,Corsica,0,5.7,14,0,1,1,9
8,322,6,Corsica,0,5.8,14,0,1,1,9
8,322,7,Corsica,0,5.9,14,0,1,1,9
8,322,8,Corsica,0,5.8,14,0,1,1,9
8,322,9,Corsica,0,5.9,14,0,1,1,9
8,322,10,Corsica,0,5.8,14,0,1,1,9
8,322,11,Corsica,0,5.9,14,0,1,1,9
8,322,12,Corsica,0,5.9,14,0,1,1,9
8,322,13,Corsica,0,5.9,14,0,1,1,9
8,322,14,Corsica,0,5.9,14,0,1,1,9
8,324,2,Corsica,0,5.5,14,0,1,1,10
8,324,3,Corsica,0,5.5,14,0,1,1,10
8,324,4,Corsica,0,5.3,14,0,1,1,10
8,324,5,Corsica,0,5.5,14,0,1,1,10
8,324,6,Corsica,0,5.6,14,0,1,1,10
8,324,7,Corsica,0,5.6,14,0,1,1,10
8,324,8,Corsica,0,5.5,14,0,1,1,10
8,324,9,Corsica,0,5.5,14,0,1,1,10
8,324,10,Corsica,0,5.5,14,0,1,1,10
8,324,11,Corsica,0,5.5,14,0,1,1,10
8,324,12,Corsica,0,5.5,14,0,1,1,10
8,324,13,Corsica,0,5.5,14,0,1,1,10
8,324,14,Corsica,0,5.5,14,0,1,1,10
8,569,2,Corsica,0,4.7,14,0,1,1,11
8,569,4,Corsica,0,4.6,14,0,1,1,11
8,569,5,Corsica,0,4.8,14,0,1,1,11
