"ID","Species","authors_gbifID","year_of_publication","country_of_collection","locallity_of_collection","y","x","coordinate_source","year_of_collection","identification_method"
1,"target_group","own collection",NA,"Zimbabwe","Malilangwe",-21.048445,31.874889,"GPS","2021","morphology"
2,"target_group","own collection",NA,"Senegal","Pakh",16.401759,-15.807579,"GPS","2021","morphology"
3,"target_group","1057401088",NA,"Cameroon","Lake Oku. Lake Oku. Northwest Region. Cameroon. Africa",6.20148,10.45962,"gbif","2008","unknown"
4,"target_group","1807204207",NA,"Kenya","Anyanga Beach",-0.05364,34.05149,"gbif","2017","unknown"
5,"target_group","1826359009",NA,"Angola","Kwanza Norte; N'Dalatando. N'Dalatando",-9.28576,14.92582,"gbif","2013","unknown"
6,"target_group","1826359038",NA,"Gabon","Lambarene. Lambarene",-0.704028,10.21925,"gbif","2013","unknown"
7,"target_group","1826359046",NA,"Gabon","Lac Zile. Lac Zile",-0.712056,10.338806,"gbif","2013","unknown"
8,"target_group","1826359095",NA,"Nigeria","Akwanga. Akwanga",8.93077,8.48252,"gbif","2013","unknown"
9,"target_group","1826359111",NA,"Gabon","Lambarene. Lambarene",-0.669861,10.216167,"gbif","2013","unknown"
10,"target_group","1826359164",NA,"Niger","Libore. Libore",13.40417,2.18802,"gbif","2007","unknown"
11,"target_group","1826359179",NA,"Angola","Luanda; Candimba",-9.53437,13.96911,"gbif","2013","unknown"
12,"target_group","1826359186",NA,"Niger","Libore. Libore",13.38805,2.19913,"gbif","2008","unknown"
13,"target_group","1826359193",NA,"Gabon","Lac Zile. Lac Zile",-0.816,10.367944,"gbif","2013","unknown"
14,"target_group","1826359197",NA,"Côte d'Ivoire","Allokokro. Allokokro",7.726883,-5.085033,"gbif","2016","unknown"
15,"target_group","1826359214",NA,"Gabon","Lac Zile. Lac Zile",-0.713389,10.327389,"gbif","2013","unknown"
16,"target_group","1826359229",NA,"Gabon","Lambarene. Lambarene",-0.676111,10.212111,"gbif","2013","unknown"
17,"target_group","1826359230",NA,"Niger","Libore. Libore",13.39452,2.19297,"gbif","2007","unknown"
18,"target_group","1826359231",NA,"Niger","Tabalak. Tabalak",15.08695,5.652383,"gbif","2008","unknown"
