Species,x,y
B.truncatus,-15.807579,16.401759
B.truncatus,10.45962,6.20148
B.truncatus,34.05149,-0.05364
B.truncatus,14.92582,-9.28576
B.truncatus,8.48252,8.93077
B.truncatus,10.216167,-0.669861
B.truncatus,2.18802,13.40417
B.truncatus,13.96911,-9.53437
B.truncatus,10.367944,-0.816
B.truncatus,2.8611,12.5138
B.truncatus,10.336639,-0.711083
B.truncatus,3.59073,11.88385
B.truncatus,5.174167,14.375667
B.truncatus,1.96177,13.58328
B.truncatus,9.13849,8.13356
B.truncatus,1.28587,14.31055
B.truncatus,2.29661,13.31996
B.truncatus,2.35073,13.09918
B.truncatus,1.69807,13.70943
B.truncatus,2.24781,13.33507
B.truncatus,2.3432,13.03523
B.truncatus,1.25329,14.34492
B.truncatus,1.74466,13.63161
B.truncatus,1.7452,13.68637
B.truncatus,1.67135,13.76104
B.truncatus,2.33279,13.28259
B.truncatus,-15.884401,16.349098
B.truncatus,-15.874553,16.266271
B.truncatus,-15.71102,16.4723
B.truncatus,-15.61247,16.480953
B.truncatus,-15.709343,16.418931
B.truncatus,-15.799793,16.274161
B.truncatus,-16.38248,16.217379
B.truncatus,-16.349023,16.1131
B.truncatus,-16.312328,16.151193
B.truncatus,43.954237,15.496715
B.truncatus,-16.393755,16.068003
B.truncatus,-15.943248,15.911347
B.truncatus,-15.965795,15.966245
B.truncatus,43.542723,15.458379
B.truncatus,43.606156,15.708722
B.truncatus,-15.894755,16.071476
B.truncatus,-5.141781,10.106774
B.truncatus,43.867054,15.461692
B.truncatus,43.876018,15.544256
B.truncatus,-15.77005,16.335233
B.truncatus,-15.846237,16.159705
B.truncatus,-5.105916,9.402801
B.truncatus,-5.179811,9.98754
B.truncatus,15.116917,12.087806
B.truncatus,-5.067945,7.994865
B.truncatus,15.046806,12.0995
B.truncatus,-5.603859,9.861308
B.truncatus,-5.179627,9.651178
B.truncatus,-2.969504,9.295065
B.truncatus,-5.476973,7.769788
B.truncatus,-5.627906,9.907128
B.truncatus,0.87854,14.20607
B.truncatus,5.68624,15.11306
B.truncatus,5.64869,15.08022
B.truncatus,8.58903,13.43698
B.truncatus,8.57224,13.48051
B.truncatus,9.69495,14.13722
B.truncatus,9.15409,13.70278
B.truncatus,9.32622,13.70166
B.truncatus,-15.88548,16.133781
B.truncatus,33.9437,-9.89932
B.truncatus,35.22272,-15.05699
B.truncatus,47.756379,30.451196
B.truncatus,2.866667,9.233333
B.truncatus,-15.0208,15.9302
B.truncatus,20.520622,19.058787
B.truncatus,45.66405,-24.2064
B.truncatus,-14.899883,15.2958
B.truncatus,-14.847917,15.27285
B.truncatus,0.94164,14.19537
B.truncatus,20.911437,18.915273
B.truncatus,-14.7181,15.261667
B.truncatus,-14.891,15.24515
B.truncatus,34.38869,1.3546
B.truncatus,35.63106,-15.116979
B.truncatus,4.021246,36.80586
B.truncatus,-2.796075,36.756932
B.truncatus,31.42868,-16.91498
B.truncatus,33.52736,14.33673
B.truncatus,33.55261,14.2921
B.truncatus,33.5907,14.25122
B.truncatus,2.74862,7.41632
B.truncatus,3.12756,7.27791
B.truncatus,3.37422,6.47897
B.truncatus,3.9527,6.95071
B.truncatus,3.97142,6.58034
B.truncatus,4.51032,6.72364
B.truncatus,4.54113,7.96833
B.truncatus,4.54343,7.48504
B.truncatus,4.54441,7.80306
B.truncatus,4.61314,9.85338
B.truncatus,4.66667,9.75
